#{"t_start": 1772927231.650998, "env_id": "None"}
r,l,t
-10.0,1,0.748753
-9.99,2,0.749612
-10.0,1,0.750059
-10.0,1,0.7505
-10.0,1,0.750938
-10.0,1,0.751369
-10.0,1,0.751807
-10.0,1,0.75224
-10.0,1,0.752671
-10.0,1,0.753119
-10.0,1,0.753551
-10.0,1,0.753981
-10.0,1,0.754415
-10.0,1,0.754854
-10.0,1,0.755288
-9.99,2,0.756127
-10.0,1,0.756562
-10.0,1,0.756996
-10.0,1,0.757426
-10.0,1,0.758099
-10.0,1,0.758796
-10.0,1,0.759328
-10.0,1,0.759874
-10.0,1,0.760356
-10.0,1,0.76083
-10.0,1,0.761366
-9.99,2,0.762229
-10.0,1,0.762658
-10.0,1,0.763104
-10.0,1,0.76355
-10.0,1,0.763979
-10.0,1,0.764463
-10.0,1,0.764902
-10.0,1,0.765342
-10.0,1,0.765779
-10.0,1,0.766222
-10.0,1,0.766663
-10.0,1,0.767113
-10.0,1,0.767561
-10.0,1,0.768317
-10.0,1,0.768871
-10.0,1,0.769377
-10.0,1,0.769839
-10.0,1,0.770284
-10.0,1,0.770736
-10.0,1,0.771179
-10.0,1,0.771621
-10.0,1,0.772059
-9.99,2,0.773009
-10.0,1,0.773482
-10.0,1,0.773999
-10.0,1,0.77444
-10.0,1,0.77488
-10.0,1,0.775318
-10.0,1,0.775758
-10.0,1,0.77623
-10.0,1,0.776714
-10.0,1,0.777182
-10.0,1,0.777651
-10.0,1,0.778239
-10.0,1,0.778818
-10.0,1,0.779365
-9.99,2,0.780324
-10.0,1,0.780809
-9.99,2,0.781697
-10.0,1,0.782162
-9.99,2,0.783034
-10.0,1,0.783498
-10.0,1,0.783956
-10.0,1,0.784404
-10.0,1,0.784889
-10.0,1,0.785354
-10.0,1,0.785841
-10.0,1,0.78648
-10.0,1,0.787127
-10.0,1,0.787724
-10.0,1,0.788276
-10.0,1,0.788882
-10.0,1,0.789361
-10.0,1,0.78982
-10.0,1,0.790281
-10.0,1,0.790733
-10.0,1,0.791202
-10.0,1,0.791649
-10.0,1,0.792085
-10.0,1,0.792529
-10.0,1,0.793006
-10.0,1,0.793543
-10.0,1,0.79403
-10.0,1,0.794562
-10.0,1,0.79508
-10.0,1,0.79557
-10.0,1,0.796041
-10.0,1,0.796503
-10.0,1,0.796957
-10.0,1,0.797402
-10.0,1,0.797855
-10.0,1,0.798326
-10.0,1,0.798804
-10.0,1,0.799256
-10.0,1,0.799708
-10.0,1,0.800157
-10.0,1,0.800596
-10.0,1,0.801033
-10.0,1,0.801478
-10.0,1,0.80192
-10.0,1,0.802358
-9.99,2,0.803262
-10.0,1,0.803705
-10.0,1,0.804144
-9.99,2,0.805182
-10.0,1,0.805795
-10.0,1,0.806273
-10.0,1,0.806711
-10.0,1,0.807149
-10.0,1,0.807604
-10.0,1,0.808038
-10.0,1,0.808471
-10.0,1,0.808907
-9.99,2,0.80975
-10.0,1,0.810187
-9.99,2,0.811028
-10.0,1,0.811463
-10.0,1,0.811913
-10.0,1,0.812352
-10.0,1,0.812783
-10.0,1,0.813225
-10.0,1,0.813656
-10.0,1,0.814085
-10.0,1,0.814524
-10.0,1,0.815251
-10.0,1,0.815793
-10.0,1,0.816293
-10.0,1,0.816773
-10.0,1,0.817239
