#{"t_start": 1772926217.36163, "env_id": "None"}
r,l,t
-10.0,1,0.824059
-10.0,1,0.824494
-10.0,1,0.824925
-10.0,1,0.825355
-10.0,1,0.825797
-10.0,1,0.826228
-10.0,1,0.826652
-10.0,1,0.8271
-10.0,1,0.827535
-10.0,1,0.827959
-10.0,1,0.828459
-10.0,1,0.829256
-10.0,1,0.829826
-10.0,1,0.830355
-10.0,1,0.830871
-10.0,1,0.831406
-10.0,1,0.831849
-10.0,1,0.8323
-9.99,2,0.833149
-10.0,1,0.833594
-10.0,1,0.834027
-10.0,1,0.834458
-10.0,1,0.834889
-10.0,1,0.835322
-10.0,1,0.835751
-10.0,1,0.836182
-10.0,1,0.836628
-10.0,1,0.837062
-10.0,1,0.837492
-9.99,2,0.838369
-10.0,1,0.839073
-10.0,1,0.839629
-10.0,1,0.840146
-10.0,1,0.840642
-10.0,1,0.841142
-9.99,2,0.84215
-10.0,1,0.842646
-10.0,1,0.843138
-10.0,1,0.843604
-10.0,1,0.844079
-10.0,1,0.844584
-10.0,1,0.845169
-10.0,1,0.845816
-10.0,1,0.846365
-10.0,1,0.846859
-10.0,1,0.8474
-10.0,1,0.847899
-10.0,1,0.848369
-10.0,1,0.849062
-10.0,1,0.849623
-10.0,1,0.850126
-10.0,1,0.850627
-10.0,1,0.85112
-10.0,1,0.8516
-10.0,1,0.85211
-10.0,1,0.852591
-10.0,1,0.853061
-10.0,1,0.853539
-9.99,2,0.854488
-10.0,1,0.854971
-10.0,1,0.855445
-10.0,1,0.855916
-10.0,1,0.856386
-10.0,1,0.857025
-10.0,1,0.857606
-10.0,1,0.858114
-10.0,1,0.85862
-10.0,1,0.859183
-10.0,1,0.859682
-10.0,1,0.86016
-10.0,1,0.860641
-10.0,1,0.86112
-10.0,1,0.861584
-10.0,1,0.862074
-10.0,1,0.862543
-10.0,1,0.863011
-10.0,1,0.863476
-10.0,1,0.863944
-10.0,1,0.864406
-10.0,1,0.865005
-10.0,1,0.865559
